ID,Compound,SMILES,Rt,MW,LogP,HBD,HBA,TPSA,Valid
49.0,β-Caryophyllene,C/C/1=C\\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,37.759,204.35699999999997,4.7252000000000045,0,0,0.0,True
50.0,β-Copaene,CC(C)[C@@H]1CC[C@]2([C@@H]3[C@H]1C2C(=C)CC3)C,38.11,204.35699999999994,4.270900000000004,0,0,0.0,True
51.0,Guaia-6.9-diene,C[C@@H]1CC[C@H]2[C@@H]1C=C(CC=C2C)C(C)C,38.722,204.35699999999997,4.581100000000004,0,0,0.0,True
52.0,Humulene,C/C/1=C\\CC(/C=C/C/C(=C/CC1)/C)(C)C,39.187,204.35699999999997,5.0354000000000045,0,0,0.0,True
53.0,γ-Muurolene,CC1=C[C@@H]2[C@H](CC1)C(=C)CC[C@H]2C(C)C,40.119,204.357,4.581100000000004,0,0,0.0,True
54.0,α-amorphene,CC1=C[C@@H]2[C@H](CC1)C(=CC[C@@H]2C(C)C)C,40.291,204.357,4.581100000000004,0,0,0.0,True
55.0,β-Eudesmene,CC(=C)[C@@H]1CC[C@]2(CCCC(=C)[C@@H]2C1)C,40.545,204.35699999999997,4.7252000000000045,0,0,0.0,True
56.0,Valencene,C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C,40.862,204.35699999999994,4.7252000000000045,0,0,0.0,True
57.0,β-Bisabolene,CC1=CC[C@H](CC1)C(=C)CCC=C(C)C,41.017,204.35699999999997,5.0354000000000045,0,0,0.0,True
58.0,α-Muurolene,CC1=C[C@@H]2[C@H](CC1)C(=CC[C@H]2C(C)C)C,41.095,204.357,4.581100000000004,0,0,0.0,True
59.0,Eremophylene,C[C@H]1CCC=C2[C@@]1(C[C@@H](CC2)C(=C)C)C,41.255,204.35699999999994,4.7252000000000045,0,0,0.0,True
60.0,iso-Caryophyllene,C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,41.376,204.35699999999997,4.7252000000000045,0,0,0.0,True
61.0,γ-Cadinene,CC1=C[C@@H]2[C@@H](CC1)C(=C)CC[C@H]2C(C)C,41.666,204.357,4.581100000000004,0,0,0.0,True
62.0,δ-Cadinene,CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C,42.016,204.35699999999997,4.7252000000000045,0,0,0.0,True
63.0,α-Calacorene,CC1=CC[C@H](C2=C1C=CC(=C2)C)C(C)C,42.812,200.325,4.5416200000000035,0,0,0.0,True
64.0,Caryophyllene oxide,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,44.428,220.35599999999994,3.9364000000000035,0,1,12.53,True
65.0,Viridiflorol,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@]2(C)O,44.78,222.37199999999993,3.465700000000003,1,1,20.23,True
66.0,Cedrol,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O,45.151,222.37199999999999,3.609800000000003,1,1,20.23,True
67.0,Humulene epoxide II,C/C/1=C/CC(/C=C\\CC2(C(O2)CC1)C)(C)C,45.441,220.35599999999997,4.2466000000000035,0,1,12.53,True
